serial,id,stage,classes,trait,section,domains,streams,subjects,entranceExams,targetCourses,careerFamilies,interestClusters,skills,combinationKeys,text
"932","v7_class9_structure_025","foundation","class-9","structure","strength","general","","","","","","vocational-practical-learning | structure","planning | organization","domain:general | domain:general|trait:structure","Before starting a practical hands-on task, I like having a clear plan for what needs to be done. My response would usually depend on what seems most useful in that specific situation."
"933","v7_class9_structure_026","foundation","class-9","structure","problem-solving","management_business","commerce with mathematics | commerce without mathematics | commerce | humanities | science pcm | science pcb","business studies | economics | entrepreneurship | mathematics | accountancy","ipmat | jipmat | np at | npat | set | cuet ug","bba | bms | ipm | management | business","management | business | entrepreneurship","business-management | structure | business | leadership | entrepreneurship | management","planning | organization","domain:management business | stream:commerce with mathematics | stream:commerce without mathematics | stream:commerce | stream:humanities | stream:science pcm | stream:science pcb | exam:ipmat | exam:jipmat | exam:np at | exam:npat | exam:set | exam:cuet ug | stream:commerce with mathematics|subject:business studies | stream:commerce with mathematics|subject:economics | stream:commerce with mathematics|subject:entrepreneurship | stream:commerce with mathematics|subject:mathematics | stream:commerce without mathematics|subject:business studies | stream:commerce without mathematics|subject:economics | stream:commerce without mathematics|subject:entrepreneurship | stream:commerce without mathematics|subject:mathematics | stream:commerce|subject:business studies | stream:commerce|subject:economics | stream:commerce|subject:entrepreneurship | stream:commerce|subject:mathematics | stream:humanities|subject:business studies | stream:humanities|subject:economics | stream:humanities|subject:entrepreneurship | stream:humanities|subject:mathematics | stream:commerce with mathematics|exam:ipmat | stream:commerce with mathematics|exam:jipmat | stream:commerce with mathematics|exam:np at | stream:commerce with mathematics|exam:npat | stream:commerce without mathematics|exam:ipmat | stream:commerce without mathematics|exam:jipmat | stream:commerce without mathematics|exam:np at | stream:commerce without mathematics|exam:npat | stream:commerce|exam:ipmat | stream:commerce|exam:jipmat | stream:commerce|exam:np at | stream:commerce|exam:npat | stream:humanities|exam:ipmat | stream:humanities|exam:jipmat | stream:humanities|exam:np at | stream:humanities|exam:npat | exam:ipmat|course:bba | exam:ipmat|course:bms | exam:ipmat|course:ipm | exam:ipmat|course:management | exam:jipmat|course:bba | exam:jipmat|course:bms | exam:jipmat|course:ipm | exam:jipmat|course:management | exam:np at|course:bba | exam:np at|course:bms | exam:np at|course:ipm | exam:np at|course:management | exam:npat|course:bba | exam:npat|course:bms | exam:npat|course:ipm | exam:npat|course:management | domain:management business|trait:structure","I prefer breaking a situation where someone needs to guide a group into an ordered sequence of smaller steps. My response would usually depend on what seems most useful in that specific situation."
"934","v7_class9_structure_027","foundation","class-9","structure","work-style","management_business","commerce with mathematics | commerce without mathematics | commerce | humanities | science pcm | science pcb","business studies | economics | entrepreneurship | mathematics | accountancy","ipmat | jipmat | np at | npat | set | cuet ug","bba | bms | ipm | management | business","management | business | entrepreneurship","structure | business | leadership | entrepreneurship | management","planning | organization","domain:management business | stream:commerce with mathematics | stream:commerce without mathematics | stream:commerce | stream:humanities | stream:science pcm | stream:science pcb | exam:ipmat | exam:jipmat | exam:np at | exam:npat | exam:set | exam:cuet ug | stream:commerce with mathematics|subject:business studies | stream:commerce with mathematics|subject:economics | stream:commerce with mathematics|subject:entrepreneurship | stream:commerce with mathematics|subject:mathematics | stream:commerce without mathematics|subject:business studies | stream:commerce without mathematics|subject:economics | stream:commerce without mathematics|subject:entrepreneurship | stream:commerce without mathematics|subject:mathematics | stream:commerce|subject:business studies | stream:commerce|subject:economics | stream:commerce|subject:entrepreneurship | stream:commerce|subject:mathematics | stream:humanities|subject:business studies | stream:humanities|subject:economics | stream:humanities|subject:entrepreneurship | stream:humanities|subject:mathematics | stream:commerce with mathematics|exam:ipmat | stream:commerce with mathematics|exam:jipmat | stream:commerce with mathematics|exam:np at | stream:commerce with mathematics|exam:npat | stream:commerce without mathematics|exam:ipmat | stream:commerce without mathematics|exam:jipmat | stream:commerce without mathematics|exam:np at | stream:commerce without mathematics|exam:npat | stream:commerce|exam:ipmat | stream:commerce|exam:jipmat | stream:commerce|exam:np at | stream:commerce|exam:npat | stream:humanities|exam:ipmat | stream:humanities|exam:jipmat | stream:humanities|exam:np at | stream:humanities|exam:npat | exam:ipmat|course:bba | exam:ipmat|course:bms | exam:ipmat|course:ipm | exam:ipmat|course:management | exam:jipmat|course:bba | exam:jipmat|course:bms | exam:jipmat|course:ipm | exam:jipmat|course:management | exam:np at|course:bba | exam:np at|course:bms | exam:np at|course:ipm | exam:np at|course:management | exam:npat|course:bba | exam:npat|course:bms | exam:npat|course:ipm | exam:npat|course:management | domain:management business|trait:structure","I like keeping the materials, notes, or information for a task that needs careful planning organised. My response would usually depend on what seems most useful in that specific situation."
"935","v7_class9_structure_028","foundation","class-9","structure","interest","general","","","","","","structure","planning | organization","domain:general | domain:general|trait:structure","For a situation that requires choosing between options, a checklist helps me make sure I do not forget important tasks. My response would usually depend on what seems most useful in that specific situation."
"936","v7_class9_structure_029","foundation","class-9","structure","decision-making","research_science | management_business","science pcm | science pcb | science pcmb | biotechnology | commerce with mathematics | commerce without mathematics | commerce | humanities","physics | chemistry | biology | mathematics | biotechnology | business studies | economics | entrepreneurship | accountancy","iiser iat | iat | nest | cuet ug | ipmat | jipmat | np at | npat | set","bsc | bs-ms | integrated msc | research degree | bba | bms | ipm | management | business","research | science | academia | management | business | entrepreneurship","science | humanities-social-sciences | structure | research | analytical | scientific curiosity | business | leadership | entrepreneurship | management","planning | organization","domain:research science | domain:management business | stream:science pcm | stream:science pcb | stream:science pcmb | stream:biotechnology | stream:commerce with mathematics | stream:commerce without mathematics | exam:iiser iat | exam:iat | exam:nest | exam:cuet ug | exam:ipmat | exam:jipmat | exam:np at | exam:npat | stream:science pcm|subject:physics | stream:science pcm|subject:chemistry | stream:science pcm|subject:biology | stream:science pcm|subject:mathematics | stream:science pcb|subject:physics | stream:science pcb|subject:chemistry | stream:science pcb|subject:biology | stream:science pcb|subject:mathematics | stream:science pcmb|subject:physics | stream:science pcmb|subject:chemistry | stream:science pcmb|subject:biology | stream:science pcmb|subject:mathematics | stream:biotechnology|subject:physics | stream:biotechnology|subject:chemistry | stream:biotechnology|subject:biology | stream:biotechnology|subject:mathematics | stream:science pcm|exam:iiser iat | stream:science pcm|exam:iat | stream:science pcm|exam:nest | stream:science pcm|exam:cuet ug | stream:science pcb|exam:iiser iat | stream:science pcb|exam:iat | stream:science pcb|exam:nest | stream:science pcb|exam:cuet ug | stream:science pcmb|exam:iiser iat | stream:science pcmb|exam:iat | stream:science pcmb|exam:nest | stream:science pcmb|exam:cuet ug | stream:biotechnology|exam:iiser iat | stream:biotechnology|exam:iat | stream:biotechnology|exam:nest | stream:biotechnology|exam:cuet ug | exam:iiser iat|course:bsc | exam:iiser iat|course:bs-ms | exam:iiser iat|course:integrated msc | exam:iiser iat|course:research degree | exam:iat|course:bsc | exam:iat|course:bs-ms | exam:iat|course:integrated msc | exam:iat|course:research degree | exam:nest|course:bsc | exam:nest|course:bs-ms | exam:nest|course:integrated msc | exam:nest|course:research degree | exam:cuet ug|course:bsc | exam:cuet ug|course:bs-ms | exam:cuet ug|course:integrated msc | exam:cuet ug|course:research degree | domain:research science|trait:structure | domain:management business|trait:structure","When a task that requires finding reliable information has a deadline, I prefer deciding in advance when different parts should be completed. My response would usually depend on what seems most useful in that specific situation."
"937","v7_class9_structure_030","foundation","class-9","structure","preferences","general","","","","","","sports | structure","planning | organization","domain:general | domain:general|trait:structure","If a school competition has an established procedure, I usually prefer understanding and following it carefully. My response would usually depend on what seems most useful in that specific situation."
"938","v7_class9_structure_031","foundation","class-9","structure","behaviour","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","structure | technology | analytical | quantitative | problem-solving","planning | organization","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:structure","While working through a project-improvement activity, I like checking how much progress has been completed and what still remains. My response would usually depend on what seems most useful in that specific situation."
"939","v7_class9_technology_001","foundation","class-9","technology","strength","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","science | mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","science | technology | analytical | quantitative | problem-solving","","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:science | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcmb|subject:science | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:pcm computer science|subject:science | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm + computer science|subject:science | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:technology","I enjoy exploring how digital tools could help with a science project."
"940","v7_class9_technology_002","foundation","class-9","technology","problem-solving","engineering","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | physics | applied mathematics | chemistry | computer science | engineering graphics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | state cet","btech | be | engineering","engineering | technology","science | engineering | technology | problem-solving | quantitative | hands-on","","domain:engineering | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:state cet | stream:science pcm|subject:mathematics | stream:science pcm|subject:physics | stream:science pcm|subject:applied mathematics | stream:science pcm|subject:chemistry | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:physics | stream:science pcmb|subject:applied mathematics | stream:science pcmb|subject:chemistry | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:physics | stream:pcm computer science|subject:applied mathematics | stream:pcm computer science|subject:chemistry | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:physics | stream:pcm + computer science|subject:applied mathematics | stream:pcm + computer science|subject:chemistry | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech | exam:jee main|course:be | exam:jee main|course:engineering | exam:jee advanced|course:btech | exam:jee advanced|course:be | exam:jee advanced|course:engineering | exam:bitsat|course:btech | exam:bitsat|course:be | exam:bitsat|course:engineering | exam:viteee|course:btech | exam:viteee|course:be | exam:viteee|course:engineering | domain:engineering|trait:technology","If technology used in a mathematics problem stops working, I like investigating what may be wrong."
"941","v7_class9_technology_003","foundation","class-9","technology","work-style","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","computer-science | mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","computer-technology | technology | analytical | quantitative | problem-solving","","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:computer-science | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcmb|subject:computer-science | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:pcm computer science|subject:computer-science | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm + computer science|subject:computer-science | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:technology","I am comfortable learning a new digital tool when it could make a computer-related task easier or better."
"942","v7_class9_technology_004","foundation","class-9","technology","interest","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","technology | analytical | quantitative | problem-solving","","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:technology","While using technology for a group assignment, I often become curious about how the system works behind the screen."
"943","v7_class9_technology_005","foundation","class-9","technology","decision-making","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","technology | analytical | quantitative | problem-solving","","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:technology","I enjoy creating something digital that could support a school event."
"944","v7_class9_technology_006","foundation","class-9","technology","preferences","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","social-science | mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","humanities-social-sciences | technology | analytical | quantitative | problem-solving","","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:social-science | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcmb|subject:social-science | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:pcm computer science|subject:social-science | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm + computer science|subject:social-science | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:technology","I like thinking about practical ways technology could improve a community activity."
"945","v7_class9_technology_007","foundation","class-9","technology","behaviour","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","fine-arts | mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","arts-design | technology | analytical | quantitative | problem-solving","","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:fine-arts | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcmb|subject:fine-arts | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:pcm computer science|subject:fine-arts | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm + computer science|subject:fine-arts | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:technology","If a creative project contains repetitive work, I wonder whether technology could automate part of it."
"946","v7_class9_technology_008","foundation","class-9","technology","motivation","management_business","commerce with mathematics | commerce without mathematics | commerce | humanities | science pcm | science pcb","commerce | business studies | economics | entrepreneurship | mathematics | accountancy","ipmat | jipmat | np at | npat | set | cuet ug","bba | bms | ipm | management | business","management | business | entrepreneurship","commerce | entrepreneurship | business | leadership | management","","domain:management business | stream:commerce with mathematics | stream:commerce without mathematics | stream:commerce | stream:humanities | stream:science pcm | stream:science pcb | exam:ipmat | exam:jipmat | exam:np at | exam:npat | exam:set | exam:cuet ug | stream:commerce with mathematics|subject:commerce | stream:commerce with mathematics|subject:business studies | stream:commerce with mathematics|subject:economics | stream:commerce with mathematics|subject:entrepreneurship | stream:commerce without mathematics|subject:commerce | stream:commerce without mathematics|subject:business studies | stream:commerce without mathematics|subject:economics | stream:commerce without mathematics|subject:entrepreneurship | stream:commerce|subject:commerce | stream:commerce|subject:business studies | stream:commerce|subject:economics | stream:commerce|subject:entrepreneurship | stream:humanities|subject:commerce | stream:humanities|subject:business studies | stream:humanities|subject:economics | stream:humanities|subject:entrepreneurship | stream:commerce with mathematics|exam:ipmat | stream:commerce with mathematics|exam:jipmat | stream:commerce with mathematics|exam:np at | stream:commerce with mathematics|exam:npat | stream:commerce without mathematics|exam:ipmat | stream:commerce without mathematics|exam:jipmat | stream:commerce without mathematics|exam:np at | stream:commerce without mathematics|exam:npat | stream:commerce|exam:ipmat | stream:commerce|exam:jipmat | stream:commerce|exam:np at | stream:commerce|exam:npat | stream:humanities|exam:ipmat | stream:humanities|exam:jipmat | stream:humanities|exam:np at | stream:humanities|exam:npat | exam:ipmat|course:bba | exam:ipmat|course:bms | exam:ipmat|course:ipm | exam:ipmat|course:management | exam:jipmat|course:bba | exam:jipmat|course:bms | exam:jipmat|course:ipm | exam:jipmat|course:management | exam:np at|course:bba | exam:np at|course:bms | exam:np at|course:ipm | exam:np at|course:management | exam:npat|course:bba | exam:npat|course:bms | exam:npat|course:ipm | exam:npat|course:management | domain:management business|trait:technology","Before using a digital tool for a simple business idea, I like comparing whether it is actually better than other options."
